source,target,relation,description,source_chunk
Reisseck Railway,Reißeck Group,passes_through,The Reisseck Railway runs into the Reißeck Group,unknown_0
Reisseck Railway,Reisseck Funicular,comprises,The Reisseck Railway comprises the Reisseck Funicular,unknown_0
Reisseck Railway,Reisseck Mountain Railway,comprises,The Reisseck Railway comprises the Reisseck Mountain Railway,unknown_0
Lost,ABC,aired on,Lost aired on ABC from 2004 to 2010,unknown_0
Lost,Primetime Emmy Awards,nominated for,Lost was nominated for 54 Primetime Emmy Awards,unknown_0
Lost,Outstanding Drama Series,won,Lost won the Primetime Emmy Award for Outstanding Drama Series,unknown_0
Lost,Best Television Series – Drama,won,Lost won the Golden Globe Award for Best Television Series – Drama,unknown_0
Lost,Peabody Award,won,Lost won the Peabody Award,unknown_0
Frances Hardman Conroy,Ruth Fisher,played,Frances Hardman Conroy played the character Ruth Fisher on Six Feet Under,unknown_0
Frances Hardman Conroy,Moira O'Hara,played,Frances Hardman Conroy played the character Moira O'Hara on American Horror Story,unknown_0
Frances Hardman Conroy,American Horror Story,appeared_in,Frances Hardman Conroy appeared in American Horror Story,unknown_0
Frances Hardman Conroy,Six Feet Under,appeared_in,Frances Hardman Conroy appeared in Six Feet Under,unknown_0
Frances Hardman Conroy,Golden Globe,won,Frances Hardman Conroy won a Golden Globe,unknown_0
Frances Hardman Conroy,Screen Actors Guild Awards,won,Frances Hardman Conroy won a Screen Actors Guild Award,unknown_0
Frances Hardman Conroy,Saturn Award,nominated,Frances Hardman Conroy was nominated for a Saturn Award,unknown_0
Frances Hardman Conroy,Emmy Award,nominated,Frances Hardman Conroy was nominated for an Emmy Award,unknown_0
Frances Hardman Conroy,Primetime Emmy Award,nominated,Frances Hardman Conroy was nominated for a Primetime Emmy Award,unknown_0
Megan Mullally,Karen Walker,portrayed,Megan Mullally played the role of Karen Walker on Will & Grace,unknown_0
Megan Mullally,Will & Grace,appeared in,Megan Mullally was a cast member on Will & Grace,unknown_0
Megan Mullally,Primetime Emmy Award,nominated for,Megan Mullally received 7 consecutive Primetime Emmy Award nominations,unknown_0
Megan Mullally,Screen Actors Guild Award,nominated for,Megan Mullally received 7 consecutive Screen Actors Guild Awards nominations,unknown_0
Megan Mullally,Golden Globe Award,nominated for,Megan Mullally received 4 Golden Globe Award nominations,unknown_0
Karen Walker,Will & Grace,character on,Karen Walker was a character on Will & Grace,unknown_0
Will & Grace,Primetime Emmy Award,won,Will & Grace won numerous Primetime Emmy Awards,unknown_0
Will & Grace,Screen Actors Guild Award,won,Will & Grace won numerous Screen Actors Guild Awards,unknown_0
Will & Grace,Golden Globe Award,won,Will & Grace won numerous Golden Globe Awards,unknown_0
Lucy Liu,Ally McBeal,played,played the role of Ling Woo,unknown_0
Lucy Liu,Charlie's Angels,starred,played the role of Alex Munday,unknown_0
Lucy Liu,Kill Bill,portrayed,played the role of O-Ren Ishii,unknown_0
Lucy Liu,Kung Fu Panda,voiced,voiced the character Master Viper,unknown_0
Ally McBeal,Primetime Emmy Award,nominated,nominated for outstanding supporting actress in a comedy series,unknown_0
Ally McBeal,Screen Actors Guild Award,nominated,nominated for outstanding performance by a female actor in a comedy series,unknown_0
Geoffrey Roy Rush,Academy Award,won,Geoffrey Roy Rush won the Academy Award for his performance in 'Shine',unknown_0
Geoffrey Roy Rush,Primetime Emmy Award,won,Geoffrey Roy Rush won the Primetime Emmy Award for his performance in a television show,unknown_0
Geoffrey Roy Rush,Tony Award,won,Geoffrey Roy Rush won the Tony Award for his performance in a play,unknown_0
Geoffrey Roy Rush,Triple Crown of Acting,achieved,"Geoffrey Roy Rush achieved the Triple Crown of Acting by winning the Academy Award, Primetime Emmy Award, and Tony Award",unknown_0
Geoffrey Roy Rush,Australian Academy of Cinema and Television Arts,founding President,Geoffrey Roy Rush is the founding President of the Australian Academy of Cinema and Television Arts,unknown_0
Geoffrey Roy Rush,Australian of the Year,named,Geoffrey Roy Rush was named the 2012 Australian of the Year,unknown_0
Geoffrey Roy Rush,Shine,starred in,Geoffrey Roy Rush starred in the film 'Shine',unknown_0
Geoffrey Roy Rush,BAFTA Award,won,Geoffrey Roy Rush won the BAFTA Award for his performance in 'Shine',unknown_0
Geoffrey Roy Rush,Critics' Choice Movie Award,won,Geoffrey Roy Rush won the Critics' Choice Movie Award for his performance in 'Shine',unknown_0
Geoffrey Roy Rush,Golden Globe Award,won,Geoffrey Roy Rush won the Golden Globe Award for his performance in 'Shine',unknown_0
Geoffrey Roy Rush,Screen Actors Guild Award,won,Geoffrey Roy Rush won the Screen Actors Guild Award for his performance in 'Shine',unknown_0
Uzoamaka Nwanneka Aduba,Orange Is the New Black,acted_in,played the role of Suzanne Warren,unknown_0
Uzoamaka Nwanneka Aduba,Emmy Award,won,won an Emmy Award for Outstanding Guest Actress in a Comedy Series,unknown_0
Uzoamaka Nwanneka Aduba,Screen Actors Guild Award,won,won two Screen Actors Guild Awards for Outstanding Performance by a Female Actor in a Comedy Series,unknown_0
Ed Asner,Lou Grant,played,played the role of Lou Grant,unknown_0
Uzoamaka Nwanneka Aduba,Ed Asner,similar_to,one of only two actors to win an Emmy Award recognition in both the comedy and drama categories for the same role,unknown_0
Miranda Hobbes,Sex and the City,part_of,Miranda Hobbes is a character on Sex and the City,unknown_0
Miranda Hobbes,Cynthia Nixon,portrayed_by,Cynthia Nixon portrays Miranda Hobbes,unknown_0
Cynthia Nixon,Emmy Award,recipient,Cynthia Nixon received an Emmy Award,unknown_0
Cynthia Nixon,Screen Actors Guild Award,recipient,Cynthia Nixon received a Screen Actors Guild Award,unknown_0
Anna Gunn,Skyler White,portrayed,Anna Gunn portrayed the character Skyler White in Breaking Bad,unknown_0
Anna Gunn,Primetime Emmy Awards,won,Anna Gunn won two consecutive Primetime Emmy Awards for Outstanding Supporting Actress in a Drama Series,unknown_0
Anna Gunn,Screen Actors Guild Award,won,Anna Gunn won the Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series,unknown_0
Skyler White,Breaking Bad,character_in,Skyler White is a fictional character in Breaking Bad,unknown_0
Breaking Bad,Anna Gunn,featured,Anna Gunn was featured in the TV series Breaking Bad,unknown_0
Suzanne Warren,Uzo Aduba,played_by,Uzo Aduba plays the role of Suzanne Warren,unknown_0
Suzanne Warren,Orange Is the New Black,part_of,Suzanne Warren is a character on Orange Is the New Black,unknown_0
Uzo Aduba,Emmy Award,won,Uzo Aduba won an Emmy Award for her performance as Suzanne Warren,unknown_0
Uzo Aduba,Critics' Choice Television Award,won,Uzo Aduba won a Critics' Choice Television Award for her performance as Suzanne Warren,unknown_0
Uzo Aduba,Screen Actors Guild Award,won,Uzo Aduba won a Screen Actors Guild Award for her performance as Suzanne Warren,unknown_0
Suzanne Warren,Emotional outburst,characterized_by,Suzanne Warren is prone to emotional outbursts,unknown_0
Suzanne Warren,Social skills,lacking_in,Suzanne Warren lacks social skills,unknown_0
Season one,Suzanne Warren,features,Suzanne Warren is a recurring character in season one,unknown_0
Season two,Suzanne Warren,features,Suzanne Warren is a regular character in season two,unknown_0
Season three,Suzanne Warren,features,Suzanne Warren is a regular character in season three,unknown_0
Cynthia Ellen Nixon,Sex and the City,portrayed,played the role of Miranda Hobbes,unknown_0
Sex and the City,Cynthia Ellen Nixon,starred,featured actress,unknown_0
Cynthia Ellen Nixon,Primetime Emmy Award,won,Outstanding Supporting Actress in a Comedy Series award,unknown_0
Cynthia Ellen Nixon,Amadeus,acted_in,film appearance,unknown_0
Cynthia Ellen Nixon,The Pelican Brief,acted_in,film appearance,unknown_0
Cynthia Ellen Nixon,Little Manhattan,acted_in,film appearance,unknown_0
Cynthia Ellen Nixon,5 Flights Up,acted_in,film appearance,unknown_0
Cynthia Ellen Nixon,James White,acted_in,film appearance,unknown_0
Cynthia Ellen Nixon,A Quiet Passion,acted_in,film appearance,unknown_0
Cynthia Ellen Nixon,Emily Dickinson,played,character portrayal,unknown_0
The Green Hornet,George W. Trendle,created_by,George W. Trendle created the Green Hornet character,unknown_0
The Green Hornet,Fran Striker,co-created_by,Fran Striker co-created the Green Hornet character,unknown_0
The Green Hornet,Michel Gondry,directed_by,Michel Gondry directed the 2011 film,unknown_0
The Green Hornet,Seth Rogen,written_by,Seth Rogen wrote the 2011 film,unknown_0
The Green Hornet,Evan Goldberg,written_by,Evan Goldberg wrote the 2011 film,unknown_0
The Green Hornet,Superhero,genre,The Green Hornet is a superhero film,unknown_0
The Green Hornet,Action,genre,The Green Hornet is an action film,unknown_0
The Green Hornet,Comedy,genre,The Green Hornet is a comedy film,unknown_0
The Green Hornet,2011 film,released_as,The Green Hornet was released in 2011,unknown_0
2011 film,Release,instance_of,The 2011 film is an instance of a release,unknown_0
Kato,The Green Hornet,assistant_to,Kato is the assistant to The Green Hornet,unknown_0
Raymond Hayashi,Kato,played,Raymond Hayashi played Kato on radio,unknown_0
Roland Parker,Kato,played,Roland Parker played Kato on radio,unknown_0
Mickey Tolan,Kato,played,Mickey Tolan played Kato on radio,unknown_0
Paul Carnegie,Kato,played,Paul Carnegie played Kato on radio,unknown_0
Keye Luke,Kato,played,Keye Luke played Kato in movie serials,unknown_0
Bruce Lee,Kato,played,Bruce Lee played Kato in television series,unknown_0
Jay Chou,Kato,played,Jay Chou played Kato in 2011 Green Hornet film,unknown_0
The Green Hornet series,The Green Hornet,features,The Green Hornet series features The Green Hornet,unknown_0
The Green Hornet series,Kato,features,The Green Hornet series features Kato,unknown_0
Green Hornet,American radio adventure series,part_of,Green Hornet is a part of the American radio adventure series,unknown_0
Green Hornet,character,instance_of,Green Hornet is an instance of a character,unknown_0
Green Hornet,masked vigilante,instance_of,Green Hornet is an instance of a masked vigilante,unknown_0
American radio adventure series,1936,occurred_in,American radio adventure series debuted in 1936,unknown_0
The Green Hornet,Lam Ching Ying,directed by,Lam Ching Ying directed The Green Hornet,unknown_0
The Green Hornet,Chin Ka-lok,starring,Chin Ka-lok starred in The Green Hornet,unknown_0
The Green Hornet,Kato,based on,The Green Hornet is based on the character Kato,unknown_0
The Green Hornet series,The Green Hornet,based on,The Green Hornet is based on the American Green Hornet series,unknown_0
Cyndee San Luis,Paulita Maya,plays,played the role of Paulita Maya in The Newsroom,unknown_0
Cyndee San Luis,Natalie Su,plays,played the role of Natalie Su in He's Mine Not Yours,unknown_0
Cyndee San Luis,Faye S.,plays,played the role of Faye S. in The Case,unknown_0
Cyndee San Luis,Twin Sister,plays,played the role of Twin Sister in The Case,unknown_0
Cyndee San Luis,Lenore Casey,plays,played the role of Lenore Casey in Keye Luke,unknown_0
The Newsroom,Cyndee San Luis,features,features Cyndee San Luis as Paulita Maya,unknown_0
He's Mine Not Yours,Cyndee San Luis,features,features Cyndee San Luis as Natalie Su,unknown_0
Can't Get Arrested,Cyndee San Luis,features,features Cyndee San Luis in Episode 2: Saved by the Bell - Ding!,unknown_0
The Case,Cyndee San Luis,features,features Cyndee San Luis as Faye S. and Twin Sister,unknown_0
Keye Luke,Cyndee San Luis,features,features Cyndee San Luis as Lenore Casey,unknown_0
Bruce Lee,Jeet Kune Do,founded,Bruce Lee founded the martial art Jeet Kune Do,unknown_0
Bruce Lee,Hong Kong,birthplace,Bruce Lee was born in Hong Kong,unknown_0
Bruce Lee,American,nationality,Bruce Lee held American nationality,unknown_0
Bruce Lee,Martial art,practitioner,Bruce Lee was a practitioner of martial arts,unknown_0
Bruce Lee,Philosopher,identity,Bruce Lee was a philosopher,unknown_0
Bruce Lee,Pop culture icon,representation,Bruce Lee represented a pop culture icon of the 20th century,unknown_0
The Green Hornet Strikes Again!,The Green Hornet radio series,based on,inspired by the radio series,unknown_0
The Green Hornet Strikes Again!,George W. Trendle,created by,created by George W. Trendle,unknown_0
The Green Hornet Strikes Again!,Fran Striker,created by,created by Fran Striker,unknown_0
The Green Hornet Strikes Again!,Universal,produced by,produced by Universal,unknown_0
The Green Hornet Strikes Again!,racketeering,involves,plots involve racketeering,unknown_0
The Green Hornet Strikes Again!,stand alone episodes,has,has mostly stand alone episodes,unknown_0
The Green Hornet Strikes Again!,The Green Hornet,sequel to,sequel to The Green Hornet,unknown_0
The Green Hornet,Green Hornet character,based_on,The Green Hornet is based on the Green Hornet character,unknown_0
The Green Hornet,George W. Trendle,created_by,George W. Trendle created the Green Hornet character,unknown_0
The Green Hornet,Fran Striker,created_by,Fran Striker created the Green Hornet character,unknown_0
The Green Hornet,Le frelon vert,original_title,Le frelon vert is the original title of The Green Hornet,unknown_0
The Green Hornet,2006,released_in,The Green Hornet was released in 2006,unknown_0
Green Hornet,Van Williams,starring,actor who played the main character,unknown_0
Green Hornet,Bruce Lee,starring,actor who played Kato,unknown_0
Green Hornet,ABC US television network,aired on,television network that aired the TV series,unknown_0
Van Williams,Green Hornet,played,actor who played the main character,unknown_0
Bruce Lee,Kato,played,actor who played Kato,unknown_0
Green Hornet,George W. Trendle,created_by,George W. Trendle created Green Hornet,unknown_0
Green Hornet,Fran Striker,co-created_by,Fran Striker co-created Green Hornet,unknown_0
Green Hornet,James Jewell,contributed_to,James Jewell contributed to Green Hornet creation,unknown_0
"Green Hornet, Inc.",Green Hornet,owns,"Green Hornet, Inc. owns the Green Hornet franchise",unknown_0
"Green Hornet, Inc.",Dynamite Entertainment,licenses_to,"Green Hornet, Inc. licenses Green Hornet rights to Dynamite Entertainment",unknown_0
Green Hornet (franchise),Comic book,includes,Green Hornet franchise includes comic books,unknown_0
Green Hornet (franchise),Film,includes,Green Hornet franchise includes films,unknown_0
Green Hornet (franchise),Television show,includes,Green Hornet franchise includes TV shows,unknown_0
Green Hornet (franchise),Radio,includes,Green Hornet franchise includes radio,unknown_0
Green Hornet (franchise),Book,includes,Green Hornet franchise includes books,unknown_0
Liverpool Football Club,English football,part_of,Liverpool Football Club is a part of English football,unknown_0
Liverpool Football Club,Liverpool,based_in,Liverpool Football Club is based in Liverpool,unknown_0
Liverpool Football Club,Anfield,owns,Liverpool Football Club owns Anfield,unknown_0
John Houlding,Liverpool Football Club,founded,John Houlding founded Liverpool Football Club,unknown_0
Everton,Anfield,left,Everton left Anfield for Goodison Park,unknown_0
Liverpool Football Club,The Football League,member_of,Liverpool Football Club was a member of The Football League,unknown_0
Liverpool Football Club,Premier League,part_of,Liverpool Football Club is a part of the Premier League,unknown_0
Liverpool Football Club,Lancashire League,member_of,Liverpool Football Club was a member of the Lancashire League,unknown_0
John Houlding,Liverpool F.C.,founded,Houlding founded Liverpool F.C. after a disagreement with Everton,unknown_0
Everton,Liverpool F.C.,disagreement,Everton and Liverpool F.C. had a disagreement over rent,unknown_0
Liverpool F.C.,Anfield,home_stadium,Liverpool F.C. plays its home games at Anfield,unknown_0
Liverpool F.C.,UEFA Champions League,won,"Liverpool F.C. won the UEFA Champions League in 1977, 1978, 1981, 1984, and 2005",unknown_0
Bob Paisley,Liverpool F.C.,managed,Paisley managed Liverpool F.C. and guided the team to 21 trophies in nine seasons,unknown_0
Everton F.C.,2009–10 season,participated_in,Everton F.C. participated in the 2009–10 season,unknown_0
Everton F.C.,Premier League,member_of,Everton F.C. is a member of the Premier League,unknown_0
Everton F.C.,Goodison Park,located_at,Everton F.C. is located at Goodison Park,unknown_0
Everton F.C.,Arsenal F.C.,defeated_by,Everton F.C. was defeated by Arsenal F.C. in the 2009–10 season,unknown_0
Everton F.C.,Relegation zone,near,Everton F.C. was near the relegation zone at Christmas,unknown_0
Everton F.C.,League Cup,participated_in,Everton F.C. participated in the League Cup,unknown_0
Everton F.C.,Hull City,defeated,Everton F.C. defeated Hull City in the League Cup,unknown_0
Everton F.C.,Tottenham Hotspur,defeated_by,Everton F.C. was defeated by Tottenham Hotspur in the League Cup,unknown_0
Everton F.C.,FA Cup,participated_in,Everton F.C. participated in the FA Cup,unknown_0
Everton F.C.,Birmingham City,defeated_by,Everton F.C. was defeated by Birmingham City in the FA Cup,unknown_0
John Houlding,Liverpool Football Club,founded,John Houlding founded Liverpool Football Club,unknown_0
Everton,Liverpool Football Club,disagreement,Everton and Liverpool Football Club had a disagreement,unknown_0
Liverpool Football Club,Anfield,uses,Liverpool Football Club uses Anfield as its stadium,unknown_0
Liverpool Football Club,Goodison Park,opponent,Liverpool Football Club played against Everton at Goodison Park,unknown_0
Liverpool Football Club,First Division,won,Liverpool Football Club won the First Division title,unknown_0
Liverpool Football Club,Premier League,member,Liverpool Football Club was a member of the Premier League,unknown_0
Liverpool Football Club,European Cup/UEFA Champions League,won,Liverpool Football Club won the European Cup/UEFA Champions League,unknown_0
Liverpool Football Club,FA Cup,won,Liverpool Football Club won the FA Cup,unknown_0
Liverpool Football Club,Football League Cup,won,Liverpool Football Club won the Football League Cup,unknown_0
Liverpool,1966 FA Charity Shield,participated in,Liverpool played in the 1966 FA Charity Shield,unknown_0
Everton,1966 FA Charity Shield,participated in,Everton played in the 1966 FA Charity Shield,unknown_0
Roger Hunt,World Cup,related to,Roger Hunt was related to the World Cup,unknown_0
Alan Ball,World Cup,related to,Alan Ball was related to the World Cup,unknown_0
Ray Wilson,World Cup,related to,Ray Wilson was related to the World Cup,unknown_0
Everton,FA Cup Final,won,Everton won the 1966 FA Cup Final,unknown_0
Liverpool,Football League,won,Liverpool won the Football League,unknown_0
Roger Hunt,Football League Trophy,related to,Roger Hunt was related to the Football League Trophy,unknown_0
Alan Ball,Football League Trophy,related to,Alan Ball was related to the Football League Trophy,unknown_0
Ray Wilson,Football League Trophy,related to,Ray Wilson was related to the Football League Trophy,unknown_0
Anfield,Liverpool F.C.,home,Anfield is the home stadium of Liverpool F.C.,unknown_0
Anfield,Everton F.C.,former home,Anfield was the former home of Everton F.C.,unknown_0
Everton F.C.,Goodison Park,current home,Everton F.C. moved to Goodison Park after a dispute with the club president,unknown_0
Liverpool F.C.,Anfield,formation,Liverpool F.C. was formed in 1892 and has been based at Anfield since then,unknown_0
Seating capacity,Anfield,has,"Anfield has a seating capacity of 54,074",unknown_0
1895/96 Football League season,Everton,participated_in,Everton participated in the 1895/96 Football League season,unknown_0
1895/96 Football League season,Aston Villa,finished_above,Aston Villa finished above Everton in the 1895/96 Football League season,unknown_0
1895/96 Football League season,The Wednesday,defeated,Everton was defeated by The Wednesday in the quarter final of the F A Cup,unknown_0
1895/96 Football League season,Bolton Wanderers,hosted,The semi final between The Wednesday and Bolton Wanderers was hosted at Goodison Park,unknown_0
Liverpool Football Club,John Houlding,founded_by,John Houlding founded Liverpool F.C.,unknown_0
Liverpool Football Club,Anfield,based_at,Liverpool F.C. is based at Anfield,unknown_0
Liverpool Football Club,Everton Football Club,rival,Liverpool F.C. is a rival of Everton F.C.,unknown_0
Liverpool Football Club,Goodison Park,former_opponent,Liverpool F.C. played at Goodison Park when Everton F.C. was based there,unknown_0
Liverpool Football Club,First Division,won_title,Liverpool F.C. won the First Division title in 1901,unknown_0
Liverpool Football Club,FA Cup,won_title,Liverpool F.C. won the FA Cup on seven occasions,unknown_0
Liverpool Football Club,European Cup/UEFA Champions League,won_title,Liverpool F.C. won the European Cup/UEFA Champions League on five occasions,unknown_0
Liverpool Football Club,Premier League,member,Liverpool F.C. was one of the founding members of the Premier League in 1992,unknown_0
Everton F.C.,Premier League,participated_in,Everton F.C. played in the Premier League during the 2010–11 season,unknown_0
Everton F.C.,Goodison Park,located_at,Everton F.C. plays their home matches at Goodison Park,unknown_0
Everton F.C.,Football League Cup,participated_in,Everton F.C. participated in the Football League Cup during the 2010–11 season,unknown_0
Everton F.C.,FA Cup,participated_in,Everton F.C. participated in the FA Cup during the 2010–11 season,unknown_0
Everton F.C.,Huddersfield Town,played_against,Everton F.C. played against Huddersfield Town in the Football League Cup,unknown_0
Everton F.C.,Brentford,played_against,Everton F.C. played against Brentford in the Football League Cup,unknown_0
Everton F.C.,Reading,played_against,Everton F.C. played against Reading in the FA Cup,unknown_0
Everton F.C.,Blackburn Rovers,played_against,Everton F.C. played against Blackburn Rovers in the Premier League,unknown_0
Everton F.C.,Chelsea,played_against,Everton F.C. played against Chelsea in the Premier League,unknown_0
Everton F.C.,Everton de Viña del Mar,played_against,Everton F.C. played against Everton de Viña del Mar in a friendly match,unknown_0
Goodison Park,Everton,home_to,stadium is home to the club,unknown_0
Goodison Park,Liverpool,located_in,stadium is located in the city,unknown_0
Goodison Park,England,located_in,stadium is located in the country,unknown_0
Everton,Premier League,member_of,club is a member of the league,unknown_0
Goodison Park,football stadium,instance_of,stadium is an example of a football stadium,unknown_0
Goodison Park,residential area,located_in,stadium is located in a residential area,unknown_0
Goodison Park,rail and bus services,served_by,stadium is served by regular rail and bus services,unknown_0
Goodison Park,completion,instance_of,stadium's completion is an event,unknown_0
1892,completion,occurred_in,completion occurred in 1892,unknown_0
Estadio Ciudad de La Plata,La Plata,located_in,The stadium is located in the city of La Plata,unknown_0
Estadio Ciudad de La Plata,Argentina,located_in,The stadium is located in Argentina,unknown_0
Estadio Ciudad de La Plata,Estadio Único,also_known_as,The stadium is also known as Estadio Único,unknown_0
Estadio Ciudad de La Plata,Province of Buenos Aires,owned_by,The stadium is owned by the Province of Buenos Aires,unknown_0
Estadio Ciudad de La Plata,Municipality of La Plata,administered_by,The stadium is administered by the Municipality of La Plata,unknown_0
Estadio Ciudad de La Plata,Estudiantes de La Plata,owned_by,The stadium is owned by Estudiantes de La Plata,unknown_0
Estadio Ciudad de La Plata,Gimnasia y Esgrima de la Plata,owned_by,The stadium is owned by Gimnasia y Esgrima de la Plata,unknown_0
A Head Full of Dreams Tour,Coldplay,associated_with,Coldplay's seventh concert tour,unknown_0
A Head Full of Dreams Tour,A Head Full of Dreams album,associated_with,Supporting album for the tour,unknown_0
A Head Full of Dreams Tour,Ghost Stories Tour,preceded_by,Coldplay's sixth concert tour,unknown_0
A Head Full of Dreams Tour,Mylo Xyloto Tour,similar_to,Similar lighting and visual effects,unknown_0
A Head Full of Dreams Tour,Xylobands,uses,Lighting and visual effects system,unknown_0
A Head Full of Dreams Tour,Latin America,visited,Concert tour visited Latin America,unknown_0
A Head Full of Dreams Tour,Europe,visited,Concert tour visited Europe,unknown_0
A Head Full of Dreams Tour,North America,visited,Concert tour visited North America,unknown_0
A Head Full of Dreams Tour,Oceania,visited,Concert tour visited Oceania,unknown_0
A Head Full of Dreams Tour,Asia,visited,Concert tour visited Asia,unknown_0
A Head Full of Dreams Tour,Estadio Ciudad de La Plata,held_at,First show of the tour,unknown_0
A Head Full of Dreams Tour,La Plata,located_in,City where the first show was held,unknown_0
A Head Full of Dreams Tour,Viva la Vida Tour,preceded_by,Coldplay's fourth concert tour,unknown_0
A Head Full of Dreams Tour,Live album,will_be_released_as,Live album covering the tour,unknown_0
Hymn for the Weekend,Coldplay,related_to,Song by Coldplay,unknown_0
Hymn for the Weekend,Beyoncé,featured_by,Guest vocals by Beyoncé,unknown_0
Hymn for the Weekend,A Head Full of Dreams,part_of,Second single from A Head Full of Dreams,unknown_0
Hymn for the Weekend,Rik Simpson,produced_by,Produced by Rik Simpson,unknown_0
Hymn for the Weekend,Tim Bergling,produced_by,Produced by Tim Bergling,unknown_0
Hymn for the Weekend,Digital Divide,produced_by,Produced by Digital Divide,unknown_0
Hymn for the Weekend,Stargate,produced_by,Produced by Stargate,unknown_0
Hymn for the Weekend,January 25,released_on,Released on January 25,unknown_0
Hymn for the Weekend,2016,released_in,Released in 2016,unknown_0
Wildest Dreams Tour,Tina Turner,performed_by,Tina Turner performed in the tour,unknown_0
Wildest Dreams Tour,Break Every Rule Tour,compared_to,The tour was compared to the Break Every Rule Tour,unknown_0
Wildest Dreams Tour,Hanes,sponsored_by,The tour was sponsored by Hanes,unknown_0
Wildest Dreams Tour,Europe,performed_in,The tour performed in Europe,unknown_0
Wildest Dreams Tour,North America,performed_in,The tour performed in North America,unknown_0
Wildest Dreams Tour,Australasia,performed_in,The tour performed in Australasia,unknown_0
Wildest Dreams Tour,Financial success,achieved,The tour achieved financial success,unknown_0
Kaleidoscope,Coldplay,released by,Kaleidoscope is an EP by Coldplay,unknown_0
Kaleidoscope,A Head Full of Dreams,companion piece to,Kaleidoscope serves as a companion piece to A Head Full of Dreams,unknown_0
Coldplay,Kaleidoscope,released,Coldplay released Kaleidoscope,unknown_0
Coldplay,A Head Full of Dreams,created,Coldplay created A Head Full of Dreams,unknown_0
Everglow,Coldplay,part_of,Everglow is a song by Coldplay,unknown_0
Everglow,A Head Full of Dreams,part_of,Everglow is a track on the album A Head Full of Dreams,unknown_0
Coldplay,Gwyneth Paltrow,ex_member,"Gwyneth Paltrow is the ex-wife of Chris Martin, lead vocalist of Coldplay",unknown_0
Everglow,Gwyneth Paltrow,performed_by,Gwyneth Paltrow provided uncredited guest vocals on Everglow,unknown_0
Everglow,Zane Lowe,premiered_on,Everglow was premiered on Zane Lowe's Beats 1 radio show,unknown_0
Everglow,Glastonbury Festival,performed_at,Everglow was performed by Coldplay at the Glastonbury Festival,unknown_0
Everglow,Muhammad Ali,sampled,Everglow features a sample of Muhammad Ali's 1977 speech,unknown_0
Everglow,Newcastle upon Tyne,location,Muhammad Ali's 1977 speech was recorded in Newcastle upon Tyne,unknown_0
Maiden England World Tour,Iron Maiden,performed_by,Concert tour by Iron Maiden,unknown_0
Maiden England World Tour,"Charlotte, North Carolina",started_in,"Tour began in Charlotte, North Carolina",unknown_0
Maiden England World Tour,Sonisphere Festival,ended_at,Tour ended at the Sonisphere Festival,unknown_0
Maiden England World Tour,"Knebworth, UK",ended_at,"Tour ended at Knebworth, UK",unknown_0
Maiden England World Tour,Seventh Tour of a Seventh Tour,inspired_by,Tour's setlist was based on the original 1989 concert video,unknown_0
Maiden England World Tour,Eddie Rips Up the World Tour,similar_to,Similar tour by Iron Maiden in 2005,unknown_0
Maiden England World Tour,Somewhere Back in Time World Tour,similar_to,Similar tour by Iron Maiden in 2008-2009,unknown_0
Seventh Tour of a Seventh Tour,Iron Maiden,performed_by,Concert tour by Iron Maiden in 1988,unknown_0
Eddie Rips Up the World Tour,Iron Maiden,performed_by,Concert tour by Iron Maiden in 2005,unknown_0
Somewhere Back in Time World Tour,Iron Maiden,performed_by,Concert tour by Iron Maiden in 2008-2009,unknown_0
In Your Wildest Dreams,Tina Turner,released by,Tina Turner released the duet,unknown_0
In Your Wildest Dreams,Barry White,released with,Barry White released the duet,unknown_0
In Your Wildest Dreams,Wildest Dreams,part of,In Your Wildest Dreams is part of the album Wildest Dreams,unknown_0
In Your Wildest Dreams,Austria,peaked at,In Your Wildest Dreams peaked at #2 in Austria,unknown_0
In Your Wildest Dreams,Antonio Banderas,featured spoken vocals by,Antonio Banderas featured spoken vocals on the original European album version,unknown_0
In Your Wildest Dreams,Deep Dish,remixed by,Deep Dish remixed the song,unknown_0
In Your Wildest Dreams,Pink Noise,remixed by,Pink Noise remixed the song,unknown_0
In Your Wildest Dreams,Wildest Dreams Tour,promoted,In Your Wildest Dreams was promoted during the Wildest Dreams Tour,unknown_0
Wildest Dreams Tour,Missing You,included,Missing You was included on the Wildest Dreams Tour,unknown_0
Wildest Dreams Tour,GoldenEye,included,GoldenEye was included on the Wildest Dreams Tour,unknown_0
1996,In Your Wildest Dreams,released in,In Your Wildest Dreams was released in 1996,unknown_0
Seventh Tour of a Seventh Tour,Iron Maiden,performed_by,tour conducted by Iron Maiden,unknown_0
Seventh Tour of a Seventh Tour,Seventh Son of a Seventh Son,supported,tour supported the album,unknown_0
Adrian Smith,Iron Maiden,member,guitarist of Iron Maiden,unknown_0
Michael Kenney,Iron Maiden,technician,bassist Steve Harris' technician,unknown_0
Steve Harris,Michael Kenney,supervisor,supervisor of Michael Kenney,unknown_0
Beowulf,Robert Zemeckis,directed_by,Directed by Robert Zemeckis,unknown_0
Beowulf,Neil Gaiman,written_by,Written by Neil Gaiman and Roger Avary,unknown_0
Beowulf,The Polar Express,similar_technique,Similar motion capture technique used,unknown_0
